Year,State,Candidate,Party,Candidate Votes,Total Votes,Description,GDP
2004,CALIFORNIA,"KERRY, JOHN",DEMOCRAT,6745485,12421353,All industry total ,1585081.4
2004,COLORADO,"BUSH, GEORGE W.",REPUBLICAN,1101255,2129630,All industry total ,203743.3
2004,CONNECTICUT,"KERRY, JOHN",DEMOCRAT,857488,1578769,All industry total ,194722.9
2004,DELAWARE,"KERRY, JOHN",DEMOCRAT,200152,375190,All industry total ,51674.1
2004,DISTRICT OF COLUMBIA,"KERRY, JOHN",DEMOCRAT,202970,227586,All industry total ,80600.7
2004,FLORIDA,"BUSH, GEORGE W.",REPUBLICAN,3964522,7609810,All industry total ,647041.8
2004,GEORGIA,"BUSH, GEORGE W.",REPUBLICAN,1914254,3301875,All industry total ,364530.1
2004,HAWAII,"KERRY, JOHN",DEMOCRAT,231708,429013,All industry total ,52625.7
2004,IDAHO,"BUSH, GEORGE W.",REPUBLICAN,409235,598376,All industry total ,44732.9
2004,ILLINOIS,"KERRY, JOHN",DEMOCRAT,2891550,5274322,All industry total ,560079.8
2004,INDIANA,"BUSH, GEORGE W.",REPUBLICAN,1479438,2468002,All industry total ,239278.5
2004,IOWA,"BUSH, GEORGE W.",REPUBLICAN,751957,1506908,All industry total ,117149.8
2004,KANSAS,"BUSH, GEORGE W.",REPUBLICAN,736456,1187756,All industry total ,98913.7
2004,KENTUCKY,"BUSH, GEORGE W.",REPUBLICAN,1069439,1795882,All industry total ,135694.5
2004,LOUISIANA,"BUSH, GEORGE W.",REPUBLICAN,1102169,1943106,All industry total ,170999.6
2004,MAINE,"KERRY, JOHN",DEMOCRAT,396842,740752,All industry total ,45233.1
2004,MARYLAND,"KERRY, JOHN",DEMOCRAT,1334493,2384238,All industry total ,243449.8
2004,MASSACHUSETTS,"KERRY, JOHN",DEMOCRAT,1803800,2927455,All industry total ,324919.0
2004,MICHIGAN,"KERRY, JOHN",DEMOCRAT,2479183,4839252,All industry total ,388764.6
2004,MINNESOTA,"KERRY, JOHN",DEMOCRAT,1445014,2828387,All industry total ,231949.4
2004,MISSISSIPPI,"BUSH, GEORGE W.",REPUBLICAN,672660,1139824,All industry total ,78680.1
