Year,State,Candidate,Party,Candidate Votes,Total Votes,Description,GDP
2020,ILLINOIS,"BIDEN, JOSEPH R. JR",DEMOCRAT,3471915,6033743,All industry total ,860672.8
2020,INDIANA,"TRUMP, DONALD J.",REPUBLICAN,1729519,3033118,All industry total ,378633.6
2020,IOWA,"TRUMP, DONALD J.",REPUBLICAN,897672,1700130,All industry total ,198609.6
2020,KANSAS,"TRUMP, DONALD J.",REPUBLICAN,771406,1372303,All industry total ,177209.6
2020,KENTUCKY,"TRUMP, DONALD J.",REPUBLICAN,1326646,2136768,All industry total ,218539.7
2020,LOUISIANA,"TRUMP, DONALD J.",REPUBLICAN,1255776,2148062,All industry total ,236216.3
2020,MAINE,"BIDEN, JOSEPH R. JR",DEMOCRAT,435072,828305,All industry total ,72077.1
2020,MARYLAND,"BIDEN, JOSEPH R. JR",DEMOCRAT,1985023,3037030,All industry total ,413455.4
2020,MASSACHUSETTS,"BIDEN, JOSEPH R. JR",DEMOCRAT,2382202,3658005,All industry total ,592653.0
2020,MICHIGAN,"BIDEN, JOSEPH R. JR",DEMOCRAT,2804040,5539302,All industry total ,529675.6
2020,MINNESOTA,"BIDEN, JOSEPH R. JR",DEMOCRAT,1717077,3277171,All industry total ,378746.6
2020,MISSISSIPPI,"TRUMP, DONALD J.",REPUBLICAN,756764,1313759,All industry total ,116709.4
2020,MISSOURI,"TRUMP, DONALD J.",REPUBLICAN,1718736,3025962,All industry total ,335285.1
2020,MONTANA,"TRUMP, DONALD J.",REPUBLICAN,343602,603674,All industry total ,52958.8
2020,NEBRASKA,"TRUMP, DONALD J.",REPUBLICAN,556846,956383,All industry total ,135149.4
2020,NEVADA,"BIDEN, JOSEPH R. JR",DEMOCRAT,703486,1405376,All industry total ,176296.3
2020,NEW HAMPSHIRE,"BIDEN, JOSEPH R. JR",DEMOCRAT,424921,806182,All industry total ,88527.7
2020,NEW JERSEY,"BIDEN, JOSEPH R. JR",DEMOCRAT,2608335,4549353,All industry total ,631552.3
2020,NEW MEXICO,"BIDEN, JOSEPH R. JR",DEMOCRAT,501614,923965,All industry total ,100656.4
2020,NEW YORK,"BIDEN, JOSEPH R. JR",DEMOCRAT,5230985,8661735,All industry total ,1773369.8
2020,NORTH CAROLINA,"TRUMP, DONALD J.",REPUBLICAN,2758773,5524802,All industry total ,600683.3
2020,NORTH DAKOTA,"TRUMP, DONALD J.",REPUBLICAN,235595,361819,All industry total ,55568.5
2020,OHIO,"TRUMP, DONALD J.",REPUBLICAN,3154834,5922202,All industry total ,692683.7
2020,OKLAHOMA,"TRUMP, DONALD J.",REPUBLICAN,1020280,1560699,All industry total ,192516.2
2020,OREGON,"BIDEN, JOSEPH R. JR",DEMOCRAT,1340383,2374321,All industry total ,251577.7
2020,PENNSYLVANIA,"BIDEN, JOSEPH R. JR",DEMOCRAT,3458229,6915283,All industry total ,777000.8
2020,RHODE ISLAND,"BIDEN, JOSEPH R. JR",DEMOCRAT,307486,516990,All industry total ,62124.9
2020,SOUTH CAROLINA,"TRUMP, DONALD J.",REPUBLICAN,1385103,2514096,All industry total ,249430.2
2020,SOUTH DAKOTA,"TRUMP, DONALD J.",REPUBLICAN,261043,422609,All industry total ,56254.4
2020,TENNESSEE,"TRUMP, DONALD J.",REPUBLICAN,1852475,3053851,All industry total ,391563.2
2020,TEXAS,"TRUMP, DONALD J.",REPUBLICAN,5890347,11315056,All industry total ,1802143.7
2020,UTAH,"TRUMP, DONALD J.",REPUBLICAN,865140,1488289,All industry total ,205647.9
2020,VERMONT,"BIDEN, JOSEPH R. JR",DEMOCRAT,242820,370968,All industry total ,34414.9
2020,VIRGINIA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2413568,4460524,All industry total ,565466.8
2020,WASHINGTON,"BIDEN, JOSEPH R. JR",DEMOCRAT,2369612,4087631,All industry total ,620132.9
2020,WEST VIRGINIA,"TRUMP, DONALD J.",REPUBLICAN,545382,794652,All industry total ,77430.9
2020,WISCONSIN,"BIDEN, JOSEPH R. JR",DEMOCRAT,1630866,3298041,All industry total ,343272.2
2020,WYOMING,"TRUMP, DONALD J.",REPUBLICAN,193559,278503,All industry total ,36709.6
