State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ME,1231719.0,1237081.0,1238508.0,1242302.0,1242662.0,1243481.0,1249060.0,1254774.0,1259127.0,1266808.0,1277072.0,1285692.0,1295960.0,1306513.0,1313688.0,1318787.0,1323619.0,1327040.0,1330509.0,1329590.0,1327366.0,1327844.0,1328501.0,1328302.0
MI,9311319.0,9400446.0,9479065.0,9540114.0,9597737.0,9676211.0,9758645.0,9809051.0,9847942.0,9897116.0,9952450.0,9991120.0,10015710.0,10041152.0,10055315.0,10051137.0,10036081.0,10001284.0,9946889.0,9901591.0,9876149.0,9874589.0,9882519.0,9895622.0
MN,4389857.0,4440859.0,4495572.0,4555956.0,4610355.0,4660180.0,4712827.0,4763390.0,4813412.0,4873481.0,4933692.0,4982796.0,5018935.0,5053572.0,5087713.0,5119598.0,5163555.0,5207203.0,5247018.0,5281203.0,5310337.0,5347108.0,5379646.0,5420380.0
MO,5128880.0,5170800.0,5217101.0,5271175.0,5324497.0,5378247.0,5431553.0,5481193.0,5521765.0,5561948.0,5607285.0,5641142.0,5674825.0,5709403.0,5747741.0,5790300.0,5842704.0,5887612.0,5923916.0,5961088.0,5996063.0,6010065.0,6024522.0,6044171.0
MS,2578897.0,2598733.0,2623734.0,2655100.0,2688992.0,2722659.0,2748085.0,2777004.0,2804834.0,2828408.0,2848353.0,2852994.0,2858681.0,2868312.0,2889010.0,2905943.0,2904978.0,2928350.0,2947806.0,2958774.0,2970047.0,2977886.0,2986450.0,2991207.0
MT,800204.0,809680.0,825770.0,844761.0,861306.0,876553.0,886254.0,889865.0,892431.0,897508.0,903773.0,906961.0,911667.0,919630.0,930009.0,940102.0,952692.0,964706.0,976415.0,983982.0,990527.0,997600.0,1005494.0,1015165.0
NC,6664016.0,6784280.0,6897214.0,7042818.0,7187398.0,7344674.0,7500670.0,7656825.0,7809122.0,7949362.0,8081614.0,8210122.0,8326201.0,8422501.0,8553152.0,8705407.0,8917270.0,9118037.0,9309449.0,9449566.0,9559533.0,9651377.0,9748364.0,9848060.0
ND,637685.0,635753.0,638223.0,641216.0,644806.0,647832.0,650382.0,649716.0,647532.0,644259.0,642023.0,639062.0,638168.0,638817.0,644705.0,646089.0,649422.0,652822.0,657569.0,664968.0,674344.0,684867.0,701345.0,723393.0
NE,1581660.0,1595919.0,1611687.0,1625590.0,1639041.0,1656993.0,1673740.0,1686418.0,1695817.0,1704764.0,1713820.0,1719836.0,1728292.0,1738643.0,1749370.0,1761497.0,1772693.0,1783440.0,1796378.0,1812683.0,1829838.0,1841749.0,1855350.0,1868516.0
NH,1112384.0,1109929.0,1117785.0,1129458.0,1142561.0,1157561.0,1174719.0,1189425.0,1205941.0,1222015.0,1239882.0,1255517.0,1269089.0,1279840.0,1290121.0,1298492.0,1308389.0,1312540.0,1315906.0,1316102.0,1316614.0,1318075.0,1321617.0,1323459.0
NJ,7762963.0,7814676.0,7880508.0,7948915.0,8014306.0,8083242.0,8149596.0,8218808.0,8287418.0,8359592.0,8430621.0,8492671.0,8552643.0,8601402.0,8634561.0,8651974.0,8661679.0,8677885.0,8711090.0,8755602.0,8802707.0,8836639.0,8867749.0,8899339.0
NM,1521574.0,1555305.0,1595442.0,1636453.0,1682398.0,1720394.0,1752326.0,1774839.0,1793484.0,1808082.0,1821204.0,1831690.0,1855309.0,1877574.0,1903808.0,1932274.0,1962137.0,1990070.0,2010662.0,2036802.0,2064982.0,2077919.0,2083540.0,2085287.0
NV,1220695.0,1296172.0,1351367.0,1411215.0,1499298.0,1581578.0,1666320.0,1764104.0,1853192.0,1934718.0,2018741.0,2098399.0,2173791.0,2248850.0,2346222.0,2432143.0,2522658.0,2601072.0,2653630.0,2684665.0,2703230.0,2717951.0,2754354.0,2790136.0
NY,18020784.0,18122510.0,18246653.0,18374954.0,18459470.0,18524104.0,18588460.0,18656546.0,18755906.0,18882725.0,19001780.0,19082838.0,19137800.0,19175939.0,19171567.0,19132610.0,19104631.0,19132335.0,19212436.0,19307066.0,19398228.0,19502728.0,19576125.0,19651127.0
OH,10864162.0,10945762.0,11029431.0,11101140.0,11152455.0,11202751.0,11242827.0,11277357.0,11311536.0,11335454.0,11363543.0,11387404.0,11407889.0,11434788.0,11452251.0,11463320.0,11481213.0,11500468.0,11515391.0,11528896.0,11545435.0,11549772.0,11553031.0,11570808.0
OK,3148825.0,3175440.0,3220517.0,3252285.0,3280940.0,3308208.0,3340129.0,3372918.0,3405194.0,3437148.0,3454365.0,3467100.0,3489080.0,3504892.0,3525233.0,3548597.0,3594090.0,3634349.0,3668976.0,3717572.0,3759263.0,3785534.0,3815780.0,3850568.0
OR,2860375.0,2928507.0,2991755.0,3060367.0,3121264.0,3184369.0,3247111.0,3304310.0,3352449.0,3393941.0,3429708.0,3467937.0,3513424.0,3547376.0,3569463.0,3613202.0,3670883.0,3722417.0,3768748.0,3808600.0,3837208.0,3867937.0,3899801.0,3930065.0
PA,11903299.0,11982164.0,12049450.0,12119724.0,12166050.0,12198403.0,12220464.0,12227814.0,12245672.0,12263805.0,12284173.0,12298970.0,12331031.0,12374658.0,12410722.0,12449990.0,12510809.0,12563937.0,12612285.0,12666858.0,12710472.0,12741310.0,12764475.0,12773801.0
PR,,,,,,,,,,,3810605.0,3818774.0,3823701.0,3826095.0,3826878.0,3821362.0,3805214.0,3782995.0,3760866.0,3740410.0,3721208.0,3686580.0,3651545.0,3615086.0
RI,1005995.0,1010649.0,1012581.0,1015113.0,1015960.0,1017002.0,1020893.0,1025353.0,1031155.0,1040402.0,1050268.0,1057142.0,1065995.0,1071342.0,1074579.0,1067916.0,1063096.0,1057315.0,1055003.0,1053646.0,1052669.0,1050350.0,1050304.0,1051511.0
SC,3501155.0,3570404.0,3620464.0,3663314.0,3705397.0,3748582.0,3796200.0,3859696.0,3919235.0,3974682.0,4024223.0,4064995.0,4107795.0,4150297.0,4210921.0,4270150.0,4357847.0,4444110.0,4528996.0,4589872.0,4636361.0,4673509.0,4723417.0,4774839.0
SD,697101.0,703669.0,712801.0,722160.0,730790.0,737926.0,742214.0,744223.0,746059.0,750413.0,755844.0,757972.0,760020.0,763729.0,770396.0,775493.0,783033.0,791623.0,799124.0,807067.0,816211.0,823772.0,834047.0,844877.0
TN,4894492.0,4966587.0,5049742.0,5137584.0,5231438.0,5326936.0,5416643.0,5499233.0,5570045.0,5638706.0,5703719.0,5750789.0,5795918.0,5847812.0,5910809.0,5991057.0,6088766.0,6175727.0,6247411.0,6306019.0,6356683.0,6398361.0,6454914.0,6495978.0
TX,17056755.0,17398005.0,17759738.0,18161612.0,18564062.0,18958751.0,19340342.0,19740317.0,20157531.0,20558220.0,20944499.0,21319622.0,21690325.0,22030931.0,22394023.0,22778123.0,23359580.0,23831983.0,24309039.0,24801761.0,25245178.0,25640909.0,26060796.0,26448193.0
USA,249622814.0,252980942.0,256514231.0,259918595.0,263125826.0,266278403.0,269394291.0,272646932.0,275854116.0,279040181.0,282162411.0,284968955.0,287625193.0,290107933.0,292805298.0,295516599.0,298379912.0,301231207.0,304093966.0,306771529.0,309326295.0,311582564.0,313873685.0,316128839.0
UT,1731223.0,1779780.0,1836799.0,1898404.0,1960446.0,2014179.0,2067976.0,2119784.0,2165961.0,2203482.0,2244502.0,2283715.0,2324815.0,2360137.0,2401580.0,2457719.0,2525507.0,2597746.0,2663029.0,2723421.0,2774424.0,2814784.0,2854871.0,2900872.0
VA,6216884.0,6301217.0,6414307.0,6509630.0,6593139.0,6670693.0,6750884.0,6829183.0,6900918.0,7000174.0,7105817.0,7198362.0,7286873.0,7366977.0,7475575.0,7577105.0,7673725.0,7751000.0,7833496.0,7925937.0,8024417.0,8105850.0,8186628.0,8260405.0
VT,564798.0,568606.0,572751.0,577748.0,583836.0,589003.0,593701.0,597239.0,600416.0,604683.0,609618.0,612223.0,615442.0,617858.0,619920.0,621215.0,622892.0,623481.0,624151.0,624817.0,625793.0,626320.0,625953.0,626630.0
WA,4903043.0,5025624.0,5160757.0,5278842.0,5375161.0,5481027.0,5569753.0,5674747.0,5769562.0,5842564.0,5910512.0,5985722.0,6052349.0,6104115.0,6178645.0,6257305.0,6370753.0,6461587.0,6562231.0,6667426.0,6742256.0,6821481.0,6895318.0,6971406.0
WI,4904562.0,4964343.0,5025398.0,5084889.0,5133678.0,5184836.0,5229986.0,5266213.0,5297673.0,5332666.0,5373999.0,5406835.0,5445162.0,5479203.0,5514026.0,5546166.0,5577655.0,5610775.0,5640996.0,5669264.0,5689060.0,5708785.0,5724554.0,5742713.0
WV,1792548.0,1798735.0,1806451.0,1817539.0,1820421.0,1823700.0,1822808.0,1819113.0,1815609.0,1811799.0,1807021.0,1801481.0,1805414.0,1812295.0,1816438.0,1820492.0,1827912.0,1834052.0,1840310.0,1847775.0,1854146.0,1855184.0,1856680.0,1854304.0
WY,453690.0,459260.0,466251.0,473081.0,480283.0,485160.0,488167.0,489452.0,490787.0,491780.0,494300.0,494657.0,500017.0,503453.0,509106.0,514157.0,522667.0,534876.0,546043.0,559851.0,564222.0,567329.0,576626.0,582658.0
